Sample,Lab
A1_001_AAOSW,1
A1_011_ABOSW,1
A1_021_ACOSW,1
A1_031_ADOSW,1
A1_041_AEOSW,1
A1_051_AFOSW,1
A1_061_AGOSW,1
A1_071_AHOSW,1
A1_081_A1OSW,1
A1_091_AKOSW,1
A1_101_ALOSW,1
A1_111_AMOSW,1
A1_121_ANOSW,1
A1_131_APOSW,1
A1_141_AQOSW,1
A1_151_AROSW,1
A1_161_ASOSW,1
A1_171_ATOSW,1
A1_181_AVOSW,1
A1_191_BAOSW,1
A1_002_ESOSW,2
A1_052_ETOSW,2
A1_102_EVOSW,2
A1_152_FAOSW,2
A1_059_PROSW,3
A1_062_FIOSW,3
A1_109_PNOSW,3
A1_159_PPOSW,3
A1_042_FTOSW,4
A1_156_QNOSW,4
A1_013_LCOSW,5
A1_063_LDOSW,5
A1_113_LEOSW,5
A1_163_LFOSW,5
A1_023_LNOSW,6
A1_073_LPOSW,6
A1_123_LQOSW,6
A1_173_LROSW,6
A1_033_GIOSW,7
A1_083_GKOSW,7
A1_133_GLOSW,7
A1_183_GMOSW,7
A1_035_NEOSW,8
A1_085_NFOSW,8
A1_135_NGOSW,8
A1_185_NHOSW,8
A1_043_GVOSW,9
A1_093_HAOSW,9
A1_143_HBOSW,9
A1_193_HCOSW,9
A1_054_HLOSW,10
A1_025_MDOSW,11
A1_075_MEOSW,11
A1_125_MFOSW,11
A1_175_MGOSW,11
A1_005_IAOSW,12
A1_015_ILOSW,13
A1_065_IMOSW,13
A1_115_INOSW,13
A1_165_IPOSW,13
A1_074_KCOSW,14
A1_124_KDOSW,14
A1_084_MQOSW,15
A1_184_MSOSW,15
A1_034_MPOSW,16
A1_134_MROSW,16
A1_044_KMOSW,17
A1_094_KNOSW,17
A1_144_KPOSW,17
A1_194_KQOSW,17
A1_008_2_PHOSW,18
A1_008_NPOSW,18
A1_058_2_PEOSW,18
A1_058_NTOSW,18
A1_108_2_PIOSW,18
A1_108_NSOSW,18
A1_158_2_PKOSW,18
A1_158_NROSW,18
A1_066_QCOSW,19
A1_116_QDOSW,19
A1_166_QEOSW,19
A1_018_RIOSW,20
A1_068_RKOSW,20
A1_118_RLOSW,20
A1_168_RMOSW,20
A1_017_RSOSW,21
A1_067_RTOSW,21
A1_117_RVOSW,21
A1_167_SAOSW,21
B1_001_BDOSW,1
B1_011_BEOSW,1
B1_021_BFOSW,1
B1_031_BGOSW,1
B1_041_BHOSW,1
B1_051_BIOSW,1
B1_061_BKOSW,1
B1_071_BLOSW,1
B1_081_BMOSW,1
B1_091_BNOSW,1
B1_101_BPOSW,1
B1_111_BQOSW,1
B1_121_BROSW,1
B1_131_BSOSW,1
B1_141_BTOSW,1
B1_151_BVOSW,1
B1_161_CAOSW,1
B1_171_CBOSW,1
B1_181_CCOSW,1
B1_191_CDOSW,1
B1_002_FBOSW,2
B1_052_FCOSW,2
B1_102_FDOSW,2
B1_152_FEOSW,2
B1_009_PTOSW,3
B1_012_FMOSW,3
B1_059_PSOSW,3
B1_062_FNOSW,3
B1_109_QAOSW,3
B1_112_FPOSW,3
B1_159_PVOSW,3
B1_162_FQOSW,3
B1_006_QPOSW,4
B1_042_GCOSW,4
B1_056_QQOSW,4
B1_092_GDOSW,4
B1_106_QROSW,4
B1_156_QSOSW,4
B1_013_LGOSW,5
B1_063_LHOSW,5
B1_113_LIOSW,5
B1_163_LKOSW,5
B1_023_LSOSW,6
B1_073_LTOSW,6
B1_123_LVOSW,6
B1_173_MAOSW,6
B1_033_GNOSW,7
B1_083_GPOSW,7
B1_133_GQOSW,7
B1_183_GROSW,7
B1_035_NIOSW,8
B1_085_NKOSW,8
B1_135_NLOSW,8
B1_185_NMOSW,8
B1_043_HDOSW,9
B1_093_HEOSW,9
B1_143_HFOSW,9
B1_193_HGOSW,9
B1_004_HPOSW,10
B1_025_MHOSW,11
B1_075_MIOSW,11
B1_125_MKOSW,11
B1_175_MLOSW,11
B1_055_IFOSW,12
B1_105_IGOSW,12
B1_155_IHOSW,12
B1_015_IQOSW,13
B1_065_IROSW,13
B1_115_ISOSW,13
B1_165_ITOSW,13
B1_024_KFOSW,14
B1_074_KGOSW,14
B1_084_MVOSW,15
B1_184_NBOSW,15
B1_034_MTOSW,16
B1_134_NAOSW,16
B1_044_KROSW,17
B1_094_KSOSW,17
B1_144_KTOSW,17
B1_194_KVOSW,17
B1_008_2_PGOSW,18
B1_008_PDOSW,18
B1_058_2_PFOSW,18
B1_058_NQOSW,18
B1_108_2_PBOSW,18
B1_108_PAOSW,18
B1_158_2_PCOSW,18
B1_158_NVOSW,18
B1_016_QFOSW,19
B1_066_QGOSW,19
B1_116_QHOSW,19
B1_166_QIOSW,19
B1_018_RNOSW,20
B1_068_RPOSW,20
B1_118_RQOSW,20
B1_168_RROSW,20
B1_017_SBOSW,21
B1_067_SCOSW,21
B1_117_SDOSW,21
B1_167_SEOSW,21